"","date","nretweets"
"213",2019-08-01,"123024"
"214",2019-08-02,"116047"
"215",2019-08-03,"123100"
"216",2019-08-04,"143343"
"217",2019-08-05,"151150"
"218",2019-08-06,"123279"
"219",2019-08-07,"138487"
"220",2019-08-08,"177258"
"221",2019-08-09,"143362"
"222",2019-08-10,"151829"
"223",2019-08-11,"143399"
"224",2019-08-12,"181227"
"225",2019-08-13,"160456"
"226",2019-08-14,"118970"
"227",2019-08-15,"149330"
"228",2019-08-16,"128229"
"229",2019-08-17,"125674"
"230",2019-08-18,"128257"
"231",2019-08-19,"229426"
"232",2019-08-20,"158334"
"233",2019-08-21,"142098"
"234",2019-08-22,"149387"
"235",2019-08-23,"132264"
"236",2019-08-24,"135743"
"237",2019-08-25,"161040"
"238",2019-08-26,"158712"
"239",2019-08-27,"196294"
"240",2019-08-28,"211521"
"241",2019-08-29,"228153"
"242",2019-08-30,"163134"
"243",2019-08-31,"145955"
"244",2019-09-01,"161625"
"245",2019-09-02,"174599"
"246",2019-09-03,"178964"
"247",2019-09-04,"20780"
"248",2019-09-05,"0"
"249",2019-09-06,"0"
"250",2019-09-07,"0"
"251",2019-09-08,"216"
"252",2019-09-09,"0"
"253",2019-09-10,"0"
"254",2019-09-11,"0"
"255",2019-09-12,"0"
"256",2019-09-13,"0"
"257",2019-09-14,"0"
"258",2019-09-15,"160"
"259",2019-09-16,"0"
"260",2019-09-17,"0"
"261",2019-09-18,"47"
"262",2019-09-19,"0"
"263",2019-09-20,"0"
"264",2019-09-21,"0"
"265",2019-09-22,"0"
"266",2019-09-23,"0"
"267",2019-09-24,"132"
"268",2019-09-25,"0"
"269",2019-09-26,"0"
"270",2019-09-27,"0"
"271",2019-09-28,"0"
"272",2019-09-29,"0"
"273",2019-09-30,"148500"
"274",2019-10-01,"130199"
"275",2019-10-02,"142758"
"276",2019-10-03,"150047"
"277",2019-10-04,"132095"
"278",2019-10-05,"131576"
"279",2019-10-06,"157910"
"280",2019-10-07,"169206"
"281",2019-10-08,"156779"
"282",2019-10-09,"146294"
"283",2019-10-10,"143531"
"284",2019-10-11,"138902"
"285",2019-10-12,"125825"
"286",2019-10-13,"147821"
"287",2019-10-14,"149471"
"288",2019-10-15,"174891"
"289",2019-10-16,"146002"
"290",2019-10-17,"137761"
"291",2019-10-18,"178804"
"292",2019-10-19,"131123"
"293",2019-10-20,"172119"
"294",2019-10-21,"162606"
"295",2019-10-22,"159032"
"296",2019-10-23,"175438"
"297",2019-10-24,"188855"
"298",2019-10-25,"150867"
"299",2019-10-26,"153290"
"300",2019-10-27,"159268"
"301",2019-10-28,"156892"
"302",2019-10-29,"169158"
"303",2019-10-30,"132113"
"304",2019-10-31,"156892"
"305",2019-11-01,"132594"
"306",2019-11-02,"141617"
"307",2019-11-03,"171864"
"308",2019-11-04,"197397"
"309",2019-11-05,"174203"
"310",2019-11-06,"176258"
"311",2019-11-07,"162012"
"312",2019-11-08,"131152"
"313",2019-11-09,"147633"
"314",2019-11-10,"176777"
"315",2019-11-11,"188082"
"316",2019-11-12,"169253"
"317",2019-11-13,"175919"
"318",2019-11-14,"174759"
"319",2019-11-15,"157957"
"320",2019-11-16,"174919"
"321",2019-11-17,"153309"
"322",2019-11-18,"149415"
"323",2019-11-19,"172609"
"324",2019-11-20,"196803"
"325",2019-11-21,"182887"
"326",2019-11-22,"179266"
"327",2019-11-23,"142070"
"328",2019-11-24,"150641"
"329",2019-11-25,"166226"
"330",2019-11-26,"171374"
"331",2019-11-27,"154742"
"332",2019-11-28,"124646"
"333",2019-11-29,"139524"
"334",2019-11-30,"162681"
"335",2019-12-01,"184697"
"336",2019-12-02,"153252"
"337",2019-12-03,"153149"
"338",2019-12-04,"169168"
"339",2019-12-05,"153696"
"340",2019-12-06,"112794"
"341",2019-12-07,"145493"
"342",2019-12-08,"172308"
"343",2019-12-09,"151235"
"344",2019-12-10,"168018"
"345",2019-12-11,"152819"
"346",2019-12-12,"152951"
"347",2019-12-13,"115774"
"348",2019-12-14,"130463"
"349",2019-12-15,"161521"
"350",2019-12-16,"147784"
"351",2019-12-17,"142579"
"352",2019-12-18,"148001"
"353",2019-12-19,"149038"
"354",2019-12-20,"118150"
"355",2019-12-21,"147227"
"356",2019-12-22,"130454"
"357",2019-12-23,"109560"
"358",2019-12-24,"89100"
"359",2019-12-25,"110899"
"360",2019-12-26,"119281"
"361",2019-12-27,"87610"
"362",2019-12-28,"130586"
"363",2019-12-29,"167631"
"364",2019-12-30,"105836"
"365",2019-12-31,"118970"
"366",2020-01-01,"114661"
"367",2020-01-02,"144116"
"368",2020-01-03,"137629"
"369",2020-01-04,"139138"
"370",2020-01-05,"158844"
"371",2020-01-06,"142155"
"372",2020-01-07,"146992"
"373",2020-01-08,"161172"
"374",2020-01-09,"146388"
"375",2020-01-10,"142692"
"376",2020-01-11,"128747"
"377",2020-01-12,"155902"
"378",2020-01-13,"141278"
"379",2020-01-14,"153564"
"380",2020-01-15,"147218"
"381",2020-01-16,"161710"
"382",2020-01-17,"151584"
"383",2020-01-18,"158910"
"384",2020-01-19,"195351"
"385",2020-01-20,"156477"
"386",2020-01-21,"194314"
"387",2020-01-22,"181689"
"388",2020-01-23,"173769"
"389",2020-01-24,"131510"
"390",2020-01-25,"185225"
"391",2020-01-26,"187195"
"392",2020-01-27,"206750"
"393",2020-01-28,"163728"
"394",2020-01-29,"203997"
"395",2020-01-30,"263803"
"396",2020-01-31,"142268"
"397",2020-02-01,"157033"
"398",2020-02-02,"144088"
"399",2020-02-03,"207382"
"400",2020-02-04,"196747"
"401",2020-02-05,"209607"
"402",2020-02-06,"203158"
"403",2020-02-07,"235366"
"404",2020-02-08,"206100"
"405",2020-02-09,"168197"
"406",2020-02-10,"163350"
"407",2020-02-11,"167348"
"408",2020-02-12,"155478"
"409",2020-02-13,"159296"
"410",2020-02-14,"163737"
"411",2020-02-15,"171044"
"412",2020-02-16,"160267"
"413",2020-02-17,"154780"
"414",2020-02-18,"153941"
"415",2020-02-19,"148745"
"416",2020-02-20,"202206"
"417",2020-02-21,"195474"
"418",2020-02-22,"233358"
"419",2020-02-23,"228842"
"420",2020-02-24,"215415"
"421",2020-02-25,"227258"
"422",2020-02-26,"199339"
"423",2020-02-27,"214048"
"424",2020-02-28,"228399"
"425",2020-02-29,"202809"
"426",2020-03-01,"207316"
"427",2020-03-02,"187950"
"428",2020-03-03,"253743"
"429",2020-03-04,"181840"
"430",2020-03-05,"218838"
"431",2020-03-06,"308730"
"432",2020-03-07,"327578"
"433",2020-03-08,"310626"
"434",2020-03-09,"306901"
"435",2020-03-10,"224024"
"436",2020-03-11,"275287"
"437",2020-03-12,"343805"
"438",2020-03-13,"259060"
"439",2020-03-14,"290165"
"440",2020-03-15,"281727"
"441",2020-03-16,"278823"
