"","date","unique_authors"
"246","2019-09-03",2835
"247","2019-09-04",2825
"248","2019-09-05",2678
"249","2019-09-06",2256
"250","2019-09-07",2297
"251","2019-09-08",2741
"252","2019-09-09",2829
"253","2019-09-10",2932
"254","2019-09-11",2784
"255","2019-09-12",2745
"256","2019-09-13",2231
"257","2019-09-14",2308
"258","2019-09-15",2738
"259","2019-09-16",2900
"260","2019-09-17",2807
"261","2019-09-18",2966
"262","2019-09-19",2826
"263","2019-09-20",2262
"264","2019-09-21",2391
"265","2019-09-22",2802
"266","2019-09-23",2853
"267","2019-09-24",2922
"268","2019-09-25",3156
"269","2019-09-26",2884
"270","2019-09-27",2439
"271","2019-09-28",3040
"272","2019-09-29",2967
"273","2019-09-30",2960
"274","2019-10-01",2867
"275","2019-10-02",2795
"276","2019-10-03",2767
"277","2019-10-04",2239
"278","2019-10-05",2197
"279","2019-10-06",2702
"280","2019-10-07",2818
"281","2019-10-08",2853
"282","2019-10-09",2919
"283","2019-10-10",2819
"284","2019-10-11",2329
"285","2019-10-12",2416
"286","2019-10-13",2788
"287","2019-10-14",2783
"288","2019-10-15",2876
"289","2019-10-16",2800
"290","2019-10-17",2825
"291","2019-10-18",2335
"292","2019-10-19",2293
"293","2019-10-20",2763
"294","2019-10-21",2828
"295","2019-10-22",2922
"296","2019-10-23",2815
"297","2019-10-24",2675
"298","2019-10-25",2287
"299","2019-10-26",2299
"300","2019-10-27",2602
"301","2019-10-28",2649
"302","2019-10-29",2707
"303","2019-10-30",2728
"304","2019-10-31",2163
"305","2019-11-01",2139
"306","2019-11-02",2153
"307","2019-11-03",2711
"308","2019-11-04",2839
"309","2019-11-05",2735
"310","2019-11-06",2892
"311","2019-11-07",2753
"312","2019-11-08",2288
"313","2019-11-09",2311
"314","2019-11-10",2759
"315","2019-11-11",2802
"316","2019-11-12",2853
"317","2019-11-13",2711
"318","2019-11-14",2696
"319","2019-11-15",2315
"320","2019-11-16",2307
"321","2019-11-17",2742
"322","2019-11-18",2793
"323","2019-11-19",2831
"324","2019-11-20",2776
"325","2019-11-21",2727
"326","2019-11-22",2208
"327","2019-11-23",2335
"328","2019-11-24",2777
"329","2019-11-25",2828
"330","2019-11-26",2831
"331","2019-11-27",2875
"332","2019-11-28",2896
"333","2019-11-29",2225
"334","2019-11-30",2408
"335","2019-12-01",2767
"336","2019-12-02",2821
"337","2019-12-03",2697
"338","2019-12-04",2936
"339","2019-12-05",2793
"340","2019-12-06",2237
"341","2019-12-07",2207
"342","2019-12-08",2759
"343","2019-12-09",2913
"344","2019-12-10",2889
"345","2019-12-11",3070
"346","2019-12-12",2812
"347","2019-12-13",2245
"348","2019-12-14",2328
"349","2019-12-15",2730
"350","2019-12-16",2828
"351","2019-12-17",2814
"352","2019-12-18",2670
"353","2019-12-19",2692
"354","2019-12-20",2174
"355","2019-12-21",2217
"356","2019-12-22",2523
"357","2019-12-23",2401
"358","2019-12-24",1897
"359","2019-12-25",1940
"360","2019-12-26",2224
"361","2019-12-27",2068
"362","2019-12-28",2230
"363","2019-12-29",2391
"364","2019-12-30",2590
"365","2019-12-31",2428
"366","2020-01-01",2753
"367","2020-01-02",2637
"368","2020-01-03",2448
"369","2020-01-04",2299
"370","2020-01-05",2470
"371","2020-01-06",2907
"372","2020-01-07",2894
"373","2020-01-08",2773
"374","2020-01-09",2759
"375","2020-01-10",2231
"376","2020-01-11",2389
"377","2020-01-12",2769
"378","2020-01-13",2967
"379","2020-01-14",2872
"380","2020-01-15",2936
"381","2020-01-16",2877
"382","2020-01-17",2349
"383","2020-01-18",2349
"384","2020-01-19",2893
"385","2020-01-20",2897
"386","2020-01-21",2845
"387","2020-01-22",2963
"388","2020-01-23",2859
"389","2020-01-24",2263
"390","2020-01-25",2377
"391","2020-01-26",2790
"392","2020-01-27",2842
"393","2020-01-28",2845
"394","2020-01-29",2884
"395","2020-01-30",2825
"396","2020-01-31",2361
"397","2020-02-01",2264
"398","2020-02-02",2659
"399","2020-02-03",2727
"400","2020-02-04",2769
"401","2020-02-05",2760
"402","2020-02-06",2637
"403","2020-02-07",2209
"404","2020-02-08",2266
"405","2020-02-09",2760
"406","2020-02-10",2750
"407","2020-02-11",2880
"408","2020-02-12",2842
"409","2020-02-13",2873
"410","2020-02-14",2187
"411","2020-02-15",2296
"412","2020-02-16",2798
"413","2020-02-17",2802
"414","2020-02-18",2884
"415","2020-02-19",2967
"416","2020-02-20",2748
"417","2020-02-21",2224
"418","2020-02-22",2427
"419","2020-02-23",2841
"420","2020-02-24",3005
"421","2020-02-25",3050
