"","date","unique_authors"
"200",2019-07-19,"1175310"
"201",2019-07-20,"1156577"
"202",2019-07-21,"1281104"
"203",2019-07-22,"1489403"
"204",2019-07-23,"1439751"
"205",2019-07-24,"1499028"
"206",2019-07-25,"1349682"
"207",2019-07-26,"1206262"
"208",2019-07-27,"1161026"
"209",2019-07-28,"1310780"
"210",2019-07-29,"1342657"
"211",2019-07-30,"1328201"
"212",2019-07-31,"1384227"
"213",2019-08-01,"1360641"
"214",2019-08-02,"1169884"
"215",2019-08-03,"1207257"
"216",2019-08-04,"1260407"
"217",2019-08-05,"1345030"
"218",2019-08-06,"1373170"
"219",2019-08-07,"1471032"
"220",2019-08-08,"1408134"
"221",2019-08-09,"1274402"
"222",2019-08-10,"1214665"
"223",2019-08-11,"1254668"
"224",2019-08-12,"1291247"
"225",2019-08-13,"1377261"
"226",2019-08-14,"1373644"
"227",2019-08-15,"1359758"
"228",2019-08-16,"1228651"
"229",2019-08-17,"1176317"
"230",2019-08-18,"1288519"
"231",2019-08-19,"1295556"
"232",2019-08-20,"1346551"
"233",2019-08-21,"1353566"
"234",2019-08-22,"1339321"
"235",2019-08-23,"1232831"
"236",2019-08-24,"1176419"
"237",2019-08-25,"1155655"
"238",2019-08-26,"1279732"
"239",2019-08-27,"1451486"
"240",2019-08-28,"1399565"
"241",2019-08-29,"1360639"
"242",2019-08-30,"1308913"
"243",2019-08-31,"1286987"
"244",2019-09-01,"1322206"
"245",2019-09-02,"1365534"
"246",2019-09-03,"1435334"
"247",2019-09-04,"1386914"
"248",2019-09-05,"1406382"
"249",2019-09-06,"1233401"
"250",2019-09-07,"1180082"
"251",2019-09-08,"1310138"
"252",2019-09-09,"1346179"
"253",2019-09-10,"1338495"
"254",2019-09-11,"1319146"
"255",2019-09-12,"1373445"
"256",2019-09-13,"1246616"
"257",2019-09-14,"1180066"
"258",2019-09-15,"1274752"
"259",2019-09-16,"1355336"
"260",2019-09-17,"1378587"
"261",2019-09-18,"1343439"
"262",2019-09-19,"1368366"
"263",2019-09-20,"1269088"
"264",2019-09-21,"1284285"
"265",2019-09-22,"1350468"
"266",2019-09-23,"1534167"
"267",2019-09-24,"1481172"
"268",2019-09-25,"1420768"
"269",2019-09-26,"1408103"
"270",2019-09-27,"1277909"
"271",2019-09-28,"1224550"
"272",2019-09-29,"1342800"
"273",2019-09-30,"1424076"
"274",2019-10-01,"1295153"
"275",2019-10-02,"1371975"
"276",2019-10-03,"1364446"
"277",2019-10-04,"1310485"
"278",2019-10-05,"1260592"
"279",2019-10-06,"1321494"
"280",2019-10-07,"1372100"
"281",2019-10-08,"1414221"
"282",2019-10-09,"1440758"
"283",2019-10-10,"1433806"
"284",2019-10-11,"1230056"
"285",2019-10-12,"1210810"
"286",2019-10-13,"1339281"
"287",2019-10-14,"1312035"
"288",2019-10-15,"1352849"
"289",2019-10-16,"1421858"
"290",2019-10-17,"1381476"
"291",2019-10-18,"1356246"
"292",2019-10-19,"1281547"
"293",2019-10-20,"1299831"
"294",2019-10-21,"1387102"
"295",2019-10-22,"1373980"
"296",2019-10-23,"1387296"
"297",2019-10-24,"1385980"
"298",2019-10-25,"1286807"
"299",2019-10-26,"1297206"
"300",2019-10-27,"1262940"
"301",2019-10-28,"1367742"
"302",2019-10-29,"1451740"
"303",2019-10-30,"1441470"
"304",2019-10-31,"1388139"
"305",2019-11-01,"1372259"
"306",2019-11-02,"1251808"
"307",2019-11-03,"1318125"
"308",2019-11-04,"1420919"
"309",2019-11-05,"1427626"
"310",2019-11-06,"1416367"
"311",2019-11-07,"1389715"
"312",2019-11-08,"1306191"
"313",2019-11-09,"1305079"
"314",2019-11-10,"1313874"
"315",2019-11-11,"1339386"
"316",2019-11-12,"1398196"
"317",2019-11-13,"1448620"
"318",2019-11-14,"1436538"
"319",2019-11-15,"1212681"
"320",2019-11-16,"1205950"
"321",2019-11-17,"1299268"
"322",2019-11-18,"1510569"
"323",2019-11-19,"1449523"
"324",2019-11-20,"1419273"
"325",2019-11-21,"1451501"
"326",2019-11-22,"1317264"
"327",2019-11-23,"1303680"
"328",2019-11-24,"1356768"
"329",2019-11-25,"1414702"
"330",2019-11-26,"1471046"
"331",2019-11-27,"1460617"
"332",2019-11-28,"1465253"
"333",2019-11-29,"1256235"
"334",2019-11-30,"1279968"
"335",2019-12-01,"1350487"
"336",2019-12-02,"1425544"
"337",2019-12-03,"1501729"
"338",2019-12-04,"1488216"
"339",2019-12-05,"1432988"
