"date","tot_n","weekday","wordlist","wordlist_n","pr","bl","sd","prlow","prhigh"
2019-01-01,6624,"Tuesday","anxiety",149,2.2493961352657,2.53126767994578,0.380668605532836,1.90589912171875,2.63576829558154
2019-01-01,6624,"Tuesday","anger",306,4.6195652173913,5.96754985104009,0.80232927214391,4.1265985817982,5.15295949254355
2019-01-01,6624,"Tuesday","sadness",299,4.51388888888889,5.71500164430008,0.556358638118089,4.02650748463639,5.04180064304068
2019-01-01,6624,"Tuesday","positive",2863,43.2216183574879,41.4369904001298,2.40688005734896,42.0243038542689,44.4249046624398
2019-01-02,6991,"Wednesday","anxiety",155,2.2171363181233,2.55503059493523,0.324760058371089,1.88487686479687,2.59002675060249
2019-01-02,6991,"Wednesday","anger",391,5.59290516378201,6.05263320296864,0.702383182791514,5.06572398569949,6.15749116352181
2019-01-02,6991,"Wednesday","sadness",374,5.34973537405235,5.73265823843853,0.570180508049532,4.83381711027315,5.90327684864522
2019-01-02,6991,"Wednesday","positive",2787,39.8655414103848,41.4669595666736,2.16738324111537,38.7150878697111,41.024453803989
2019-01-03,8411,"Thursday","anxiety",185,2.1995006539056,2.53760678000114,0.316927399511424,1.89675990301439,2.53595165631166
2019-01-03,8411,"Thursday","anger",440,5.23124479847818,5.99628289979771,0.779406937869868,4.76504035202114,5.72876182231969
2019-01-03,8411,"Thursday","sadness",462,5.49280703840209,5.61599566408357,0.462369604383215,5.01543456065518,6.00129776561902
2019-01-03,8411,"Thursday","positive",3351,39.8406848175009,41.488387676209,2.14933621511623,38.7921521581355,40.8962606730292
2019-01-04,9213,"Friday","anxiety",207,2.2468251383914,2.55248000864453,0.349546759281813,1.95395111508249,2.57040474283377
2019-01-04,9213,"Friday","anger",515,5.58992727667427,6.06533892872156,0.659173596496292,5.12950836439172,6.07867065418245
2019-01-04,9213,"Friday","sadness",445,4.83013133615543,5.57823236177844,0.547884721149211,4.40124548406552,5.28785694995119
2019-01-04,9213,"Friday","positive",3524,38.2502984912623,41.389189204577,2.3021414049984,37.2563266674396,39.2517050254648
2019-01-05,7307,"Saturday","anxiety",194,2.65498836731901,2.66381849475187,0.330198191096205,2.29852261731243,3.04986729534635
2019-01-05,7307,"Saturday","anger",384,5.25523470644587,6.36542167775656,0.639624699926401,4.75470331023721,5.79183022364249
2019-01-05,7307,"Saturday","sadness",410,5.61105788969481,5.86072416802483,0.510734707424857,5.09434143276521,6.16353299797949
2019-01-05,7307,"Saturday","positive",2953,40.4133023128507,41.4843299432229,1.85026770343878,39.2853091034184,41.5489497059647
2019-01-06,7416,"Sunday","anxiety",196,2.64293419633225,2.61093606417642,0.320182329697216,2.28982109504211,3.0339010200206
2019-01-06,7416,"Sunday","anger",511,6.89050701186624,6.54225599468637,0.763529952427687,6.32431422577383,7.49086143554769
2019-01-06,7416,"Sunday","sadness",402,5.42071197411003,6.10245482699052,0.578887235090364,4.91624181685426,5.96057162769524
2019-01-06,7416,"Sunday","positive",3131,42.2195253505933,42.4733447484369,1.62261057676127,41.0919126046122,43.3532582031945
2019-01-07,8620,"Monday","anxiety",198,2.2969837587007,2.57701163803768,0.285276961488964,1.9911407190913,2.63562684930614
2019-01-07,8620,"Monday","anger",516,5.9860788863109,6.21570278351923,0.810385918992341,5.49442547227987,6.50773544602702
2019-01-07,8620,"Monday","sadness",467,5.41763341067285,5.81687885574787,0.530212102225071,4.94910465739568,5.91657457803723
2019-01-07,8620,"Monday","positive",3539,41.0556844547564,41.4313037972012,2.15562148219374,40.0145646433851,42.1028540503743
2019-01-08,9686,"Tuesday","anxiety",222,2.29196778856081,2.53126767994578,0.380668605532836,2.00319982221672,2.6098918179521
2019-01-08,9686,"Tuesday","anger",605,6.24612843278959,5.96754985104009,0.80232927214391,5.7722585156171,6.74651237648752
2019-01-08,9686,"Tuesday","sadness",558,5.76089200908528,5.71500164430008,0.556358638118089,5.30506901279729,6.24353738871758
2019-01-08,9686,"Tuesday","positive",3786,39.0873425562668,41.4369904001298,2.40688005734896,38.1138487718993,40.0674029114146
2019-01-09,10146,"Wednesday","anxiety",216,2.12891780011827,2.55503059493523,0.324760058371089,1.85692467197719,2.42884838398921
2019-01-09,10146,"Wednesday","anger",576,5.67711413364873,6.05263320296864,0.702383182791514,5.23469007399678,6.145187201561
2019-01-09,10146,"Wednesday","sadness",563,5.54898482160457,5.73265823843853,0.570180508049532,5.11140538347606,6.01229133872282
2019-01-09,10146,"Wednesday","positive",3930,38.7344766410408,41.4669595666736,2.16738324111537,37.7850059304913,39.6904179961385
2019-01-10,9657,"Thursday","anxiety",224,2.3195609402506,2.53760678000114,0.316927399511424,2.02861629637271,2.6397294890711
2019-01-10,9657,"Thursday","anger",484,5.01190846018432,5.99628289979771,0.779406937869868,4.58518133687885,5.46602126651755
2019-01-10,9657,"Thursday","sadness",466,4.82551517034276,5.61599566408357,0.462369604383215,4.40659432946619,5.27194279983569
2019-01-10,9657,"Thursday","positive",3774,39.0804597701149,41.488387676209,2.14933621511623,38.1055357318775,40.0619743199808
2019-01-11,10365,"Friday","anxiety",245,2.36372407139412,2.55248000864453,0.349546759281813,2.07988344600531,2.67474146520117
2019-01-11,10365,"Friday","anger",578,5.57645923781959,6.06533892872156,0.659173596496292,5.14240989542711,6.03567194243707
2019-01-11,10365,"Friday","sadness",539,5.20019295706705,5.57823236177844,0.547884721149211,4.780563900067,5.64521049297921
2019-01-11,10365,"Friday","positive",3967,38.2730342498794,41.389189204577,2.3021414049984,37.3358909289055,39.2167705820571
