"date","tot_n","weekday","wordlist","wordlist_n","pr","bl","sd","prlow","prhigh"
2019-01-01,173902,"Tuesday","anxiety",7399,4.25469517314349,4.76095315518768,0.639364899469523,4.16030967188005,4.3506094842268
2019-01-01,173902,"Tuesday","anger",17851,10.2649768260285,13.1603067079741,2.51737512174984,10.1227077315057,10.4085720891817
2019-01-01,173902,"Tuesday","sadness",9106,5.236282503939,5.90332725292691,0.588823358365435,5.1320462748232,5.34201417695872
2019-01-01,173902,"Tuesday","positive",80851,46.492277259606,39.9857020041898,1.57675659019867,46.2576299642661,46.727041504203
2019-01-02,195452,"Wednesday","anxiety",9010,4.60982747682295,4.82472545850036,0.614296664846422,4.51727980837336,4.70372433746991
2019-01-02,195452,"Wednesday","anger",23970,12.2638806458875,13.1625727990126,2.2160315356763,12.1187628359462,12.4101186677733
2019-01-02,195452,"Wednesday","sadness",11230,5.74565622249964,6.00701524341439,0.587494971986876,5.6428884505596,5.84973895286049
2019-01-02,195452,"Wednesday","positive",80475,41.1737920307799,40.0371683626062,1.41395102851413,40.955483949706,41.392361918197
2019-01-03,219873,"Thursday","anxiety",10092,4.58992236427392,4.85623568428433,0.649699464892956,4.50282347629503,4.67822087799199
2019-01-03,219873,"Thursday","anger",27117,12.3330286119715,13.1055674423346,2.18956940728714,12.1958577601634,12.4711932940188
2019-01-03,219873,"Thursday","sadness",12634,5.74604430739563,5.89397333904554,0.608128883077926,5.64912682328857,5.84413047121989
2019-01-03,219873,"Thursday","positive",87325,39.7161088446512,40.1566146799768,1.10378332615418,39.511493244289,39.9209955872694
2019-01-04,219833,"Friday","anxiety",10875,4.94693699308111,4.76236868578116,0.506574859638321,4.85665714154587,5.03840711312985
2019-01-04,219833,"Friday","anger",28202,12.828829156678,12.9382900441442,2.14681306601866,12.6893006515866,12.96933855323
2019-01-04,219833,"Friday","sadness",12038,5.47597494461705,5.73337871343781,0.41136566731837,5.38122997720138,5.57189602123272
2019-01-04,219833,"Friday","positive",87142,39.6400904322827,40.1829403737438,1.08700128478148,39.4355242558368,39.844929805134
2019-01-05,175111,"Saturday","anxiety",7942,4.53540896916813,4.7312593527087,0.624094866619281,4.43841802500858,4.63390865024537
2019-01-05,175111,"Saturday","anger",20569,11.7462637983907,13.0864315182074,2.53919676082909,11.5958101353895,11.8979851722489
2019-01-05,175111,"Saturday","sadness",9245,5.27950842608403,6.05182773433022,0.58162504875812,5.17522448938076,5.38527600852289
2019-01-05,175111,"Saturday","positive",69640,39.7690607671705,39.0500006294176,1.35969040382943,39.5397148944238,39.9987453981553
2019-01-06,163707,"Sunday","anxiety",7384,4.51049741306114,4.98020411476625,0.989131484102295,4.41046625734984,4.61214351964094
2019-01-06,163707,"Sunday","anger",18838,11.5071438606779,13.1547966696382,2.46561215434826,11.3529413575046,11.6627110088762
2019-01-06,163707,"Sunday","sadness",8780,5.36324042343944,6.30454141546282,0.665621603573593,5.25459271565172,5.47347230836649
2019-01-06,163707,"Sunday","positive",65953,40.2872204609455,39.1885360881246,1.21678392730256,40.0494968014518,40.525288142856
