"date","nretweets"
2019-09-13,"0"
2019-09-14,"0"
2019-09-15,"0"
2019-09-16,"0"
2019-09-17,"0"
2019-09-18,"0"
2019-09-19,"0"
2019-09-20,"0"
2019-09-21,"0"
2019-09-22,"0"
2019-09-23,"197"
2019-09-24,"0"
2019-09-25,"0"
2019-09-26,"0"
2019-09-27,"0"
2019-09-28,"0"
2019-09-29,"45825"
2019-09-30,"966568"
2019-10-01,"1011446"
2019-10-02,"904045"
2019-10-03,"1077166"
2019-10-04,"1065600"
2019-10-05,"880836"
2019-10-06,"1278942"
2019-10-07,"1675271"
2019-10-08,"1263943"
2019-10-09,"1219893"
2019-10-10,"1320426"
2019-10-11,"1302032"
2019-10-12,"1113045"
2019-10-13,"1950148"
2019-10-14,"1827906"
2019-10-15,"2385001"
2019-10-16,"1740517"
2019-10-17,"1922676"
2019-10-18,"2258022"
2019-10-19,"1948253"
2019-10-20,"1306690"
2019-10-21,"1403473"
2019-10-22,"1405368"
2019-10-23,"1335149"
2019-10-24,"1995973"
2019-10-25,"1274995"
2019-10-26,"1136569"
2019-10-27,"1437852"
2019-10-28,"2756187"
2019-10-29,"1218788"
2019-10-30,"1698480"
2019-10-31,"1001302"
2019-11-01,"1378172"
2019-11-02,"2167081"
2019-11-03,"3650957"
2019-11-04,"1816420"
2019-11-05,"1710124"
2019-11-06,"1437694"
2019-11-07,"1556976"
2019-11-08,"1053878"
2019-11-09,"2332899"
2019-11-10,"1357884"
2019-11-11,"1562660"
2019-11-12,"1455851"
2019-11-13,"1336925"
2019-11-14,"2059009"
2019-11-15,"1124215"
2019-11-16,"1523426"
2019-11-17,"1397316"
2019-11-18,"1413972"
2019-11-19,"1969962"
2019-11-20,"1133293"
2019-11-21,"1634024"
2019-11-22,"813933"
2019-11-23,"984606"
2019-11-24,"2433076"
2019-11-25,"988474"
2019-11-26,"1207578"
2019-11-27,"1399013"
2019-11-28,"1267061"
2019-11-29,"976909"
2019-11-30,"1156739"
2019-12-01,"1708229"
2019-12-02,"1157687"
2019-12-03,"1819696"
2019-12-04,"1116558"
2019-12-05,"1115926"
2019-12-06,"1284941"
2019-12-07,"1014841"
2019-12-08,"1029090"
2019-12-09,"827590"
2019-12-10,"1073495"
2019-12-11,"1778883"
2019-12-12,"1285652"
2019-12-13,"827708"
2019-12-14,"1861417"
2019-12-15,"1903848"
2019-12-16,"2042944"
2019-12-17,"865008"
2019-12-18,"1025379"
2019-12-19,"1172370"
2019-12-20,"1592855"
2019-12-21,"1051312"
2019-12-22,"2104716"
2019-12-23,"929504"
2019-12-24,"1164239"
2019-12-25,"991474"
2019-12-26,"806118"
2019-12-27,"1713400"
2019-12-28,"1053680"
2019-12-29,"1078389"
2019-12-30,"1369528"
2019-12-31,"833826"
2020-01-01,"1109848"
2020-01-02,"1176356"
2020-01-03,"973791"
2020-01-04,"2582948"
2020-01-05,"2759029"
2020-01-06,"2508269"
2020-01-07,"1423801"
2020-01-08,"1018117"
2020-01-09,"1047246"
2020-01-10,"988434"
2020-01-11,"1745174"
2020-01-12,"1166252"
2020-01-13,"1719676"
2020-01-14,"1548411"
2020-01-15,"1110519"
2020-01-16,"2018038"
2020-01-17,"960765"
2020-01-18,"1552911"
2020-01-19,"1524452"
2020-01-20,"2014999"
2020-01-21,"2132583"
2020-01-22,"1172686"
2020-01-23,"1496427"
2020-01-24,"953108"
2020-01-25,"1266429"
2020-01-26,"1450325"
2020-01-27,"1267535"
2020-01-28,"1070219"
2020-01-29,"1762147"
2020-01-30,"1218669"
2020-01-31,"1196487"
2020-02-01,"1272311"
2020-02-02,"1228024"
2020-02-03,"1263509"
2020-02-04,"1654825"
2020-02-05,"850246"
2020-02-06,"906848"
2020-02-07,"922439"
2020-02-08,"977738"
2020-02-09,"1554845"
2020-02-10,"1107716"
2020-02-11,"1646102"
2020-02-12,"1176791"
2020-02-13,"1313992"
2020-02-14,"696230"
2020-02-15,"1275271"
2020-02-16,"1154016"
2020-02-17,"1899309"
2020-02-18,"2169054"
2020-02-19,"1485691"
2020-02-20,"889244"
2020-02-21,"1227590"
2020-02-22,"885533"
2020-02-23,"1470929"
2020-02-24,"1831892"
2020-02-25,"1494927"
2020-02-26,"1101953"
2020-02-27,"929780"
2020-02-28,"933767"
2020-02-29,"1721649"
2020-03-01,"1604420"
2020-03-02,"1765304"
2020-03-03,"1746477"
2020-03-04,"1137043"
2020-03-05,"1694020"
2020-03-06,"1750266"
2020-03-07,"2392540"
2020-03-08,"1819104"
2020-03-09,"2248510"
2020-03-10,"1662877"
2020-03-11,"2480521"
2020-03-12,"3511111"
2020-03-13,"5368778"
2020-03-14,"2569844"
2020-03-15,"2465956"
2020-03-16,"2451115"
2020-03-17,"1991474"
2020-03-18,"1696191"
2020-03-19,"3539096"
2020-03-20,"2884152"
2020-03-21,"2894928"
2020-03-22,"3522597"
2020-03-23,"2223919"
2020-03-24,"3839984"
2020-03-25,"1709216"
2020-03-26,"1716163"
2020-03-27,"2094375"
2020-03-28,"1884586"
2020-03-29,"2803039"
2020-03-30,"2431419"
2020-03-31,"2884586"
2020-04-01,"1581448"
2020-04-02,"2571146"
2020-04-03,"1955239"
2020-04-04,"3037339"
2020-04-05,"1657469"
2020-04-06,"2276534"
2020-04-07,"1963331"
2020-04-08,"1834537"
2020-04-09,"1914229"
2020-04-10,"2189421"
2020-04-11,"3280718"
2020-04-12,"1662877"
2020-04-13,"2238444"
2020-04-14,"2337319"
2020-04-15,"1970633"
2020-04-16,"1716360"
2020-04-17,"1827906"
2020-04-18,"1802368"
2020-04-19,"2093783"
