"","date","nretweets"
"200",2019-07-19,"1643635"
"201",2019-07-20,"1186995"
"202",2019-07-21,"1696349"
"203",2019-07-22,"1671572"
"204",2019-07-23,"1942878"
"205",2019-07-24,"1572711"
"206",2019-07-25,"2257254"
"207",2019-07-26,"1332585"
"208",2019-07-27,"1020786"
"209",2019-07-28,"2218757"
"210",2019-07-29,"3672071"
"211",2019-07-30,"1839860"
"212",2019-07-31,"1603808"
"213",2019-08-01,"1417477"
"214",2019-08-02,"980710"
"215",2019-08-03,"1464288"
"216",2019-08-04,"1705329"
"217",2019-08-05,"1243452"
"218",2019-08-06,"1038247"
"219",2019-08-07,"1538039"
"220",2019-08-08,"3187494"
"221",2019-08-09,"5325767"
"222",2019-08-10,"1504947"
"223",2019-08-11,"1161636"
"224",2019-08-12,"1427704"
"225",2019-08-13,"1249854"
"226",2019-08-14,"1447326"
"227",2019-08-15,"1279371"
"228",2019-08-16,"1359857"
"229",2019-08-17,"1001746"
"230",2019-08-18,"2351708"
"231",2019-08-19,"1377982"
"232",2019-08-20,"2204706"
"233",2019-08-21,"1374324"
"234",2019-08-22,"1262575"
"235",2019-08-23,"1844267"
"236",2019-08-24,"1026357"
"237",2019-08-25,"818159"
"238",2019-08-26,"1542446"
"239",2019-08-27,"1832210"
"240",2019-08-28,"1642304"
"241",2019-08-29,"1444832"
"242",2019-08-30,"1279704"
"243",2019-08-31,"1627255"
"244",2019-09-01,"1534879"
"245",2019-09-02,"2530223"
"246",2019-09-03,"5880602"
"247",2019-09-04,"75663"
"248",2019-09-05,"0"
"249",2019-09-06,"166"
"250",2019-09-07,"0"
"251",2019-09-08,"0"
"252",2019-09-09,"0"
"253",2019-09-10,"0"
"254",2019-09-11,"0"
"255",2019-09-12,"0"
"256",2019-09-13,"0"
"257",2019-09-14,"0"
"258",2019-09-15,"0"
"259",2019-09-16,"0"
"260",2019-09-17,"4157"
"261",2019-09-18,"0"
"262",2019-09-19,"0"
"263",2019-09-20,"0"
"264",2019-09-21,"0"
"265",2019-09-22,"0"
"266",2019-09-23,"0"
"267",2019-09-24,"0"
"268",2019-09-25,"45065"
"269",2019-09-26,"0"
"270",2019-09-27,"0"
"271",2019-09-28,"23280"
"272",2019-09-29,"0"
"273",2019-09-30,"1624594"
"274",2019-10-01,"1791718"
"275",2019-10-02,"1985283"
"276",2019-10-03,"2772844"
"277",2019-10-04,"1385964"
"278",2019-10-05,"1392284"
"279",2019-10-06,"2645131"
"280",2019-10-07,"1793963"
"281",2019-10-08,"1647543"
"282",2019-10-09,"2410326"
"283",2019-10-10,"1637482"
"284",2019-10-11,"1382223"
"285",2019-10-12,"2035669"
"286",2019-10-13,"1496965"
"287",2019-10-14,"1805604"
"288",2019-10-15,"1701671"
"289",2019-10-16,"1674066"
"290",2019-10-17,"1912862"
"291",2019-10-18,"1468529"
"292",2019-10-19,"1354286"
"293",2019-10-20,"2468529"
"294",2019-10-21,"1734347"
"295",2019-10-22,"3754718"
"296",2019-10-23,"1970566"
"297",2019-10-24,"2625010"
"298",2019-10-25,"1305978"
"299",2019-10-26,"1249272"
"300",2019-10-27,"1901388"
"301",2019-10-28,"4026939"
"302",2019-10-29,"1885258"
"303",2019-10-30,"2214600"
"304",2019-10-31,"1892325"
"305",2019-11-01,"2173193"
"306",2019-11-02,"1605637"
"307",2019-11-03,"2279870"
"308",2019-11-04,"1805604"
"309",2019-11-05,"2362018"
"310",2019-11-06,"1861727"
"311",2019-11-07,"1959757"
"312",2019-11-08,"1814833"
"313",2019-11-09,"1718466"
"314",2019-11-10,"1499043"
"315",2019-11-11,"1764612"
"316",2019-11-12,"1797455"
"317",2019-11-13,"1796956"
"318",2019-11-14,"1976220"
"319",2019-11-15,"2092126"
"320",2019-11-16,"1368919"
"321",2019-11-17,"1640392"
"322",2019-11-18,"2143510"
"323",2019-11-19,"2708073"
"324",2019-11-20,"1965910"
"325",2019-11-21,"3255009"
"326",2019-11-22,"1538704"
"327",2019-11-23,"1715057"
"328",2019-11-24,"1731271"
"329",2019-11-25,"2033424"
"330",2019-11-26,"2067847"
"331",2019-11-27,"8369502"
"332",2019-11-28,"2365012"
"333",2019-11-29,"1783570"
"334",2019-11-30,"2666167"
"335",2019-12-01,"1607383"
"336",2019-12-02,"2025941"
"337",2019-12-03,"1944541"
"338",2019-12-04,"2498794"
"339",2019-12-05,"2238546"
"340",2019-12-06,"1639145"
"341",2019-12-07,"1788974"
"342",2019-12-08,"1963249"
"343",2019-12-09,"2568803"
"344",2019-12-10,"3490396"
"345",2019-12-11,"2292924"
"346",2019-12-12,"2557911"
"347",2019-12-13,"1649788"
"348",2019-12-14,"1406751"
"349",2019-12-15,"1442088"
"350",2019-12-16,"1642970"
"351",2019-12-17,"1850419"
"352",2019-12-18,"2220503"
"353",2019-12-19,"1470108"
"354",2019-12-20,"1467947"
"355",2019-12-21,"1139685"
"356",2019-12-22,"1226157"
"357",2019-12-23,"2065352"
"358",2019-12-24,"764862"
"359",2019-12-25,"1054959"
"360",2019-12-26,"1115074"
"361",2019-12-27,"1661012"
"362",2019-12-28,"1164795"
"363",2019-12-29,"1180427"
"364",2019-12-30,"1327679"
"365",2019-12-31,"1291593"
"366",2020-01-01,"1507025"
"367",2020-01-02,"2076827"
"368",2020-01-03,"1018874"
"369",2020-01-04,"2918267"
"370",2020-01-05,"3901139"
"371",2020-01-06,"2184834"
"372",2020-01-07,"1687453"
"373",2020-01-08,"3285441"
"374",2020-01-09,"1366924"
"375",2020-01-10,"1397355"
"376",2020-01-11,"1970649"
"377",2020-01-12,"1626839"
"378",2020-01-13,"1355533"
"379",2020-01-14,"2137773"
"380",2020-01-15,"1611623"
"381",2020-01-16,"1923339"
"382",2020-01-17,"1234306"
"383",2020-01-18,"1545605"
"384",2020-01-19,"1368836"
"385",2020-01-20,"1516587"
"386",2020-01-21,"2077575"
"387",2020-01-22,"1190571"
"388",2020-01-23,"4914608"
"389",2020-01-24,"1030514"
"390",2020-01-25,"1757379"
"391",2020-01-26,"1743161"
"392",2020-01-27,"1509852"
"393",2020-01-28,"2044732"
"394",2020-01-29,"2388459"
"395",2020-01-30,"1978714"
"396",2020-01-31,"3431196"
"397",2020-02-01,"1690197"
"398",2020-02-02,"1424378"
"399",2020-02-03,"1731603"
"400",2020-02-04,"1566724"
"401",2020-02-05,"1466533"
"402",2020-02-06,"1413070"
"403",2020-02-07,"1191319"
"404",2020-02-08,"1653030"
"405",2020-02-09,"1998752"
"406",2020-02-10,"1719131"
