"hits","total","low","high","pr","bl","sd","wordlist","country"
29762,895163,3.28771345982027,3.3621041971867,3.32475761397645,2.79915399987547,0.285065245688088,"anxiety","Austria"
49041,895163,5.43139168368378,5.52578385041117,5.47844359072035,6.71688978240656,0.613819976185087,"anger","Austria"
55399,895163,6.1388770096536,6.23881731261509,6.18870529724754,6.08829768597315,0.378195466772524,"sadness","Austria"
390005,895163,43.4652907045463,43.6708367481149,43.5680429150892,42.1171383755599,1.00581606277755,"positive","Austria"
1973980,38740490,5.08846985533603,5.10232174279877,5.09539244340998,4.81143922114592,0.20411255010738,"anxiety","France"
4269093,38740490,11.0098597965515,11.0295833204793,11.0197186457889,11.0955729639414,0.472877765408099,"anger","France"
2567664,38740490,6.62002464359583,6.63569440175925,6.62785628163196,6.59002650888849,0.244308056058409,"sadness","France"
14441104,38740490,37.2612867632307,37.2917422165165,37.2765135391938,39.1402255237711,1.19045557975716,"positive","France"
280074,8743319,3.19162952602814,3.21498460574964,3.20329156467927,2.73021312828975,0.226459281231957,"anxiety","Germany"
535596,8743319,6.10988813165163,6.14168979797283,6.12577443417082,6.65327625078142,0.561274174747128,"anger","Germany"
562528,8743319,6.41754952209264,6.4500871620348,6.43380391359391,6.38850215302117,0.241402878040251,"sadness","Germany"
3945862,8743319,45.0970358058958,45.1630162632189,45.1300244220759,45.1312398566586,0.780153632419964,"positive","Germany"
300334,9877963,3.02974611937354,3.05117076613309,3.04044467467635,2.19240024207326,0.148436419311535,"anxiety","Italy"
669386,9877963,6.76089263903838,6.79225088973426,6.77655909421811,6.97760610002452,0.494311312762858,"anger","Italy"
881575,9877963,8.90689176017041,8.94246016177659,8.92466392109385,8.14555441229929,0.38221717448303,"sadness","Italy"
815203,9877963,8.23559146977729,8.26992102841884,8.25274401210047,8.58486516143443,0.389057647047194,"positive","Italy"
2139051,45510568,4.69397227306528,4.70627213358755,4.70011932173644,4.20922862472404,0.294284551974239,"anxiety","Spain"
5451215,45510568,11.9684779744447,11.9873474094338,11.9779102734996,11.8267861117329,0.686082410809671,"anger","Spain"
2512347,45510568,5.51372625084013,5.52699856568911,5.52035957890044,5.20180946674314,0.368804896992942,"sadness","Spain"
17235168,45510568,37.8566011707477,37.8847886141283,37.8706941209787,38.0836022151473,1.3405763231391,"positive","Spain"
4921287,94726442,5.19079378988226,5.19973327538935,5.19526216344112,4.10924562625356,0.237189838663288,"anxiety","UK"
9292225,94726442,9.80354743756449,9.81552822321241,9.80953660225093,10.6343833842035,0.599443286600492,"anger","UK"
6530182,94726442,6.88862559872635,6.8988303848916,6.89372667454352,5.92353250938283,0.298049444709833,"sadness","UK"
56036587,94726442,59.146325376797,59.1661237173474,59.1562248268546,59.0679252890993,1.81207922653652,"positive","UK"
16405537,413268599,3.96782103644832,3.97158610557421,3.9697032486129,3.35845399146702,0.1919210525249,"anxiety","USA"
54074596,413268599,13.0813616097397,13.0878645058389,13.0846127992415,13.2202953881369,0.513081565946936,"anger","USA"
24689661,413268599,5.97195587057705,5.97652622270179,5.97424073828556,5.68976738809968,0.178573899747277,"sadness","USA"
220593822,413268599,53.3730231105458,53.3826425441932,53.3778328510267,52.8866857437475,1.31219320661556,"positive","USA"
22892,997256,2.26619454244311,2.32508068381674,2.29549884884122,1.74349961137551,0.211340692212731,"anxiety","BelgiumDutch"
45665,997256,4.53812117245848,4.62027281059914,4.57906495423442,4.64052567394468,0.391115780694693,"anger","BelgiumDutch"
48852,997256,4.85636081620765,4.94118513360294,4.89864187330034,4.54125584102783,0.291815735678703,"sadness","BelgiumDutch"
201575,997256,20.1341827324133,20.2919190617733,20.2129643742429,20.1188215011448,0.772395623836205,"positive","BelgiumDutch"
1364008,29002590,4.6953538653569,4.71076683918262,4.703055830531,3.83761267463798,0.227802800652261,"anxiety","CanadaEnglish"
3134855,29002590,10.7975816082455,10.8201851811379,10.8088794828324,11.2471264501849,0.504816017968057,"anger","CanadaEnglish"
1967239,29002590,6.77382815943103,6.79213440560537,6.78297696860867,5.97145847784275,0.260229688748852,"sadness","CanadaEnglish"
18645721,29002590,64.2724067541368,64.3072862067598,64.289847906687,65.2345848449754,1.33917132743739,"positive","CanadaEnglish"
311450,6424070,4.83157625566526,4.86480960701403,4.84817257595263,3.89222517732394,0.246023974697797,"anxiety","Ireland"
610376,6424070,9.47872580111725,9.52409243365484,9.50139086280193,10.8217319049931,0.55702892028121,"anger","Ireland"
433817,6424070,6.73359997704616,6.77242509324706,6.75299304023773,5.82737486762384,0.270042190569671,"sadness","Ireland"
3757231,6424070,58.4486541752185,58.5248767576762,58.4867692911192,58.6026144360074,1.75317958729537,"positive","Ireland"
138099,6036949,2.2756512460067,2.29952015981176,2.28756280697419,1.69888721184203,0.162887066480774,"anxiety","Netherlands"
269814,6036949,4.45290746912769,4.48588988277333,4.4693768325689,4.60853713157168,0.32288558328701,"anger","Netherlands"
335205,6036949,5.53430189196775,5.57085361683671,5.55255643206527,5.02121194130595,0.283794889743983,"sadness","Netherlands"
1499922,6036949,24.8112298046703,24.880186447959,24.8456960626966,24.0381793978756,0.764763994123537,"positive","Netherlands"
14618,438321,3.2820395232732,3.3885760602797,3.33499877943334,2.57532913212483,0.331108139254883,"anxiety","Switzerland"
26117,438321,5.88851849648301,6.02890158853551,5.95841860189222,6.17160873274665,0.759902658656835,"anger","Switzerland"
28199,438321,6.36095417560057,6.50644828621382,6.43341295534551,5.77440049624992,0.557862590714277,"sadness","Switzerland"
