"date","anger","fear","positive","sadness"
"2017-12-31",0.131075110456554,0.00147275405007364,0.37260677466863,0.053019145802651
"2018-01-01",0.0925858951175407,0.00596745027124774,0.407414104882459,0.0533453887884268
"2018-01-02",0.115199704142012,0.00647189349112426,0.308801775147929,0.0628698224852071
"2018-01-03",0.122610890732059,0.0115398485394879,0.311215290299315,0.0521096285611251
"2018-01-04",0.121173700416591,0.00796957072994023,0.314254664010143,0.0557869951095816
"2018-01-05",0.117256239899443,0.00790087987071287,0.308493445861016,0.0626683426108817
"2018-01-06",0.111347517730496,0.0076241134751773,0.313652482269504,0.0593971631205674
"2018-01-07",0.110078627591137,0.00768406004288778,0.30879199428163,0.0596854896354539
"2018-01-08",0.112939001848429,0.0099815157116451,0.322735674676525,0.0589648798521257
"2018-01-09",0.112830319888734,0.00851877607788595,0.302155771905424,0.0551112656467316
"2018-01-10",0.11186502842472,0.00788556757748029,0.318723638364203,0.0605171465248487
"2018-01-11",0.113706319029513,0.0077856237552055,0.31142495020822,0.0550425493391273
"2018-01-12",0.130633931843166,0.00806156101135947,0.311652620007329,0.0628435324294613
"2018-01-13",0.124843722093231,0.0108948026433292,0.311305590283979,0.061975352741561
"2018-01-14",0.12564330079858,0.00780834072759539,0.310381543921917,0.0592724046140195
"2018-01-15",0.113268608414239,0.00773103200287666,0.310679611650485,0.0690399137001079
"2018-01-16",0.114680545585068,0.00717875089734386,0.312096195262024,0.0628140703517588
"2018-01-17",0.113579808034127,0.00853181656594383,0.321187344472094,0.0636331318876644
"2018-01-18",0.116008013112366,0.0076488799854307,0.317610635585504,0.0630122017847387
"2018-01-19",0.120361990950226,0.00723981900452489,0.307330316742081,0.0521266968325792
"2018-01-20",0.130522456461962,0.00494958753437214,0.309990834097159,0.0595783684692942
"2018-01-21",0.133902647309991,0.00529461998292058,0.308795900939368,0.0580700256191289
"2018-01-22",0.11789905010244,0.00875395790650028,0.30787856211585,0.0663065747811511
"2018-01-23",0.120310245310245,0.00505050505050505,0.301948051948052,0.0579004329004329
"2018-01-24",0.117711171662125,0.00817438692098093,0.32188919164396,0.0566757493188011
"2018-01-25",0.113782345384474,0.00623967700495504,0.313084969719215,0.0548724536612222
"2018-01-26",0.112359550561798,0.0051721062957018,0.317817014446228,0.0543962903513465
"2018-01-27",0.107361394400148,0.0057481921008715,0.321713332097163,0.0617467086964584
"2018-01-28",0.117021276595745,0.00531914893617021,0.314013206162876,0.0575935436537051
"2018-01-29",0.121658483360611,0.00672849609019822,0.32387706855792,0.0580105473722495
"2018-01-30",0.115837937384899,0.00883977900552486,0.306445672191529,0.0546961325966851
"2018-01-31",0.124294813466788,0.0103730664240218,0.31410373066424,0.0584167424931756
"2018-02-01",0.116657623440043,0.00596852957135106,0.317236389943932,0.0580575149213239
"2018-02-02",0.115814550119113,0.00733003481766538,0.318123511086678,0.0491112332783581
"2018-02-03",0.113573407202216,0.00609418282548476,0.321883656509695,0.0594644506001847
"2018-02-04",0.116299253601805,0.00607533414337789,0.337614997396285,0.0541572643638257
"2018-02-05",0.121401752190238,0.00661541212229573,0.317897371714643,0.064187377078491
"2018-02-06",0.113926358002187,0.00856726212176449,0.303317535545024,0.0614290922347794
"2018-02-07",0.118214285714286,0.00696428571428571,0.31875,0.0596428571428571
"2018-02-08",0.108606921029281,0.00603371783496007,0.315705412599823,0.0557231588287489
