"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0,02;0;0,03;2,23;0,026;1,02
"week 1";0,02;-0,01;0,04;1,01;0,315;1,02
"week 2";0,05;0,02;0,08;3,57;0;1,05
"week 3";0,03;0;0,06;2,29;0,022;1,03
"week 4";0;-0,02;0,03;0,24;0,807;1
"week 5";-0,01;-0,03;0;-1,98;0,048;0,99
