"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0;-0,02;0,03;0,16;0,869;1
"week 1";-0,03;-0,06;0;-1,73;0,083;0,97
"week 2";-0,03;-0,07;0,01;-1,59;0,112;0,97
"week 3";-0,02;-0,05;0;-1,75;0,08;0,98
"week 4";0,01;0;0,03;1,81;0,07;1,01
"week 5";-0,01;-0,02;0,01;-0,98;0,327;0,99
