"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0,02;0,01;0,04;2,85;0,004;1,02
"week 1";0,18;0,12;0,24;5,63;0;1,19
"week 2";0,01;-0,06;0,07;0,28;0,776;1,01
"week 3";0,01;-0,04;0,05;0,4;0,691;1,01
"week 4";-0,09;-0,11;-0,06;-7,16;0;0,92
"week 5";-0,05;-0,07;-0,03;-4,22;0;0,95
