"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0;-0,01;0,02;0,49;0,622;1
"week 1";-0,04;-0,06;-0,01;-2,71;0,007;0,96
"week 2";0,01;-0,01;0,03;0,94;0,346;1,01
"week 3";0,01;0;0,03;1,52;0,129;1,01
"week 4";0,01;0;0,02;1,24;0,215;1,01
"week 5";0;-0,01;0,01;-0,67;0,5;1
