"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0,02;0;0,03;2,23;0,026;1,02
"week 1";0,03;0;0,06;2,23;0,026;1,03
"week 2";0,08;0,05;0,11;5,4;0;1,08
"week 3";0,12;0,07;0,16;5,1;0;1,12
"week 4";0,12;0,09;0,15;8,51;0;1,13
"week 5";0,1;0,09;0,12;10,84;0;1,11
