"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0;-0,01;0,02;0,49;0,622;1
"week 1";-0,03;-0,06;-0,01;-2,35;0,019;0,97
"week 2";-0,02;-0,04;0;-2,16;0,031;0,98
"week 3";-0,01;-0,04;0,02;-0,68;0,495;0,99
"week 4";0;-0,02;0,02;-0,13;0,899;1
"week 5";0;-0,03;0,02;-0,37;0,714;1
