"week";"coefficient";"cilow";"cihigh";"z";"p";"OR"
"control";0,02;0,01;0,04;2,85;0,004;1,02
"week 1";0,2;0,13;0,27;5,84;0;1,22
"week 2";0,21;0,15;0,26;7,41;0;1,23
"week 3";0,22;0,16;0,28;6,97;0;1,24
"week 4";0,13;0,09;0,18;5,76;0;1,14
"week 5";0,08;0,05;0,12;4,56;0;1,08
